Target: https://bizness.htb/
Total requests: 114441
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=301      7 L	      11 W	    169 Ch	  "www"
00003:  C=301      7 L	      11 W	    169 Ch	  "ftp"
00007:  C=301      7 L	      11 W	    169 Ch	  "webdisk"
00020:  C=301      7 L	      11 W	    169 Ch	  "www2"
00022:  C=301      7 L	      11 W	    169 Ch	  "pop3"
00015:  C=301      7 L	      11 W	    169 Ch	  "ns"
00021:  C=301      7 L	      11 W	    169 Ch	  "ns3"
00023:  C=301      7 L	      11 W	    169 Ch	  "forum"
00019:  C=301      7 L	      11 W	    169 Ch	  "dev"
00014:  C=301      7 L	      11 W	    169 Ch	  "autoconfig"
00016:  C=301      7 L	      11 W	    169 Ch	  "test"
00017:  C=301      7 L	      11 W	    169 Ch	  "m"
00013:  C=301      7 L	      11 W	    169 Ch	  "autodiscover"
00018:  C=301      7 L	      11 W	    169 Ch	  "blog"
00012:  C=301      7 L	      11 W	    169 Ch	  "ns2"
00011:  C=301      7 L	      11 W	    169 Ch	  "ns1"
00010:  C=301      7 L	      11 W	    169 Ch	  "whm"
00009:  C=301      7 L	      11 W	    169 Ch	  "cpanel"
00004:  C=301      7 L	      11 W	    169 Ch	  "localhost"
00006:  C=301      7 L	      11 W	    169 Ch	  "smtp"
00049:  C=301      7 L	      11 W	    169 Ch	  "server"
00008:  C=301      7 L	      11 W	    169 Ch	  "pop"
00038:  C=301      7 L	      11 W	    169 Ch	  "demo"
00026:  C=301      7 L	      11 W	    169 Ch	  "vpn"
00030:  C=301      7 L	      11 W	    169 Ch	  "new"
00005:  C=301      7 L	      11 W	    169 Ch	  "webmail"
00002:  C=301      7 L	      11 W	    169 Ch	  "mail"
00048:  C=301      7 L	      11 W	    169 Ch	  "portal"
00024:  C=301      7 L	      11 W	    169 Ch	  "admin"
00047:  C=301      7 L	      11 W	    169 Ch	  "news"
00046:  C=301      7 L	      11 W	    169 Ch	  "img"
00045:  C=301      7 L	      11 W	    169 Ch	  "www1"
00044:  C=301      7 L	      11 W	    169 Ch	  "web"
00043:  C=301      7 L	      11 W	    169 Ch	  "lists"
00042:  C=301      7 L	      11 W	    169 Ch	  "static"
00036:  C=301      7 L	      11 W	    169 Ch	  "secure"
00037:  C=301      7 L	      11 W	    169 Ch	  "shop"
00041:  C=301      7 L	      11 W	    169 Ch	  "dns1"
00039:  C=301      7 L	      11 W	    169 Ch	  "dns2"
00040:  C=301      7 L	      11 W	    169 Ch	  "ns4"
00035:  C=301      7 L	      11 W	    169 Ch	  "cp"
00051:  C=301      7 L	      11 W	    169 Ch	  "api"
00029:  C=301      7 L	      11 W	    169 Ch	  "old"
00061:  C=301      7 L	      11 W	    169 Ch	  "stats"
00060:  C=301      7 L	      11 W	    169 Ch	  "www.test"
00033:  C=301      7 L	      11 W	    169 Ch	  "beta"
00063:  C=301      7 L	      11 W	    169 Ch	  "video"
00054:  C=301      7 L	      11 W	    169 Ch	  "www.blog"
00053:  C=301      7 L	      11 W	    169 Ch	  "images"
00057:  C=301      7 L	      11 W	    169 Ch	  "sql"
00055:  C=301      7 L	      11 W	    169 Ch	  "backup"
00059:  C=301      7 L	      11 W	    169 Ch	  "www.forum"
00058:  C=301      7 L	      11 W	    169 Ch	  "intranet"
00052:  C=301      7 L	      11 W	    169 Ch	  "media"
00062:  C=301      7 L	      11 W	    169 Ch	  "host"
00050:  C=301      7 L	      11 W	    169 Ch	  "wiki"
00027:  C=301      7 L	      11 W	    169 Ch	  "mx"
00031:  C=301      7 L	      11 W	    169 Ch	  "mobile"
00034:  C=301      7 L	      11 W	    169 Ch	  "support"
00025:  C=301      7 L	      11 W	    169 Ch	  "mail2"
00032:  C=301      7 L	      11 W	    169 Ch	  "mysql"
00028:  C=301      7 L	      11 W	    169 Ch	  "imap"
00056:  C=301      7 L	      11 W	    169 Ch	  "dns"
00065:  C=301      7 L	      11 W	    169 Ch	  "mx1"
00080:  C=301      7 L	      11 W	    169 Ch	  "svn"
00079:  C=301      7 L	      11 W	    169 Ch	  "wap"
00075:  C=301      7 L	      11 W	    169 Ch	  "ipv4"
00069:  C=301      7 L	      11 W	    169 Ch	  "sip"
00077:  C=301      7 L	      11 W	    169 Ch	  "email"
00078:  C=301      7 L	      11 W	    169 Ch	  "my"
00076:  C=301      7 L	      11 W	    169 Ch	  "remote"
00081:  C=301      7 L	      11 W	    169 Ch	  "store"
00074:  C=301      7 L	      11 W	    169 Ch	  "ads"
00120:  C=301      7 L	      11 W	    169 Ch	  "ssl"
00071:  C=301      7 L	      11 W	    169 Ch	  "search"
00093:  C=301      7 L	      11 W	    169 Ch	  "db"
00072:  C=301      7 L	      11 W	    169 Ch	  "crm"
00121:  C=301      7 L	      11 W	    169 Ch	  "cn"
00094:  C=301      7 L	      11 W	    169 Ch	  "office"
00123:  C=301      7 L	      11 W	    169 Ch	  "vps"
00122:  C=301      7 L	      11 W	    169 Ch	  "smtp2"
00111:  C=301      7 L	      11 W	    169 Ch	  "app"
00103:  C=301      7 L	      11 W	    169 Ch	  "newsletter"
00099:  C=301      7 L	      11 W	    169 Ch	  "monitor"
00097:  C=301      7 L	      11 W	    169 Ch	  "info"
00085:  C=301      7 L	      11 W	    169 Ch	  "www.dev"
00089:  C=301      7 L	      11 W	    169 Ch	  "exchange"
00083:  C=301      7 L	      11 W	    169 Ch	  "download"
00087:  C=301      7 L	      11 W	    169 Ch	  "apps"
00090:  C=301      7 L	      11 W	    169 Ch	  "mail3"
00091:  C=301      7 L	      11 W	    169 Ch	  "forums"
00092:  C=301      7 L	      11 W	    169 Ch	  "ns5"
00095:  C=301      7 L	      11 W	    169 Ch	  "live"
00096:  C=301      7 L	      11 W	    169 Ch	  "files"
00088:  C=301      7 L	      11 W	    169 Ch	  "dns3"
00084:  C=301      7 L	      11 W	    169 Ch	  "proxy"
00082:  C=301      7 L	      11 W	    169 Ch	  "cms"
00066:  C=301      7 L	      11 W	    169 Ch	  "www3"
00070:  C=301      7 L	      11 W	    169 Ch	  "chat"
00068:  C=301      7 L	      11 W	    169 Ch	  "www.m"
00064:  C=301      7 L	      11 W	    169 Ch	  "mail1"
00073:  C=301      7 L	      11 W	    169 Ch	  "mx2"
00067:  C=301      7 L	      11 W	    169 Ch	  "staging"
00086:  C=301      7 L	      11 W	    169 Ch	  "mssql"
00119:  C=301      7 L	      11 W	    169 Ch	  "www.demo"
00133:  C=301      7 L	      11 W	    169 Ch	  "www4"
00118:  C=301      7 L	      11 W	    169 Ch	  "dns4"
00106:  C=301      7 L	      11 W	    169 Ch	  "web2"
00102:  C=301      7 L	      11 W	    169 Ch	  "sms"
00117:  C=301      7 L	      11 W	    169 Ch	  "gw"
00129:  C=301      7 L	      11 W	    169 Ch	  "radio"
00134:  C=301      7 L	      11 W	    169 Ch	  "members"
00132:  C=301      7 L	      11 W	    169 Ch	  "help"
00135:  C=301      7 L	      11 W	    169 Ch	  "tv"
00136:  C=301      7 L	      11 W	    169 Ch	  "www.shop"
00137:  C=301      7 L	      11 W	    169 Ch	  "extranet"
00130:  C=301      7 L	      11 W	    169 Ch	  "ntp"
00126:  C=301      7 L	      11 W	    169 Ch	  "online"
00098:  C=301      7 L	      11 W	    169 Ch	  "owa"
00124:  C=301      7 L	      11 W	    169 Ch	  "ns6"
00101:  C=301      7 L	      11 W	    169 Ch	  "panel"
00105:  C=301      7 L	      11 W	    169 Ch	  "web1"
00107:  C=301      7 L	      11 W	    169 Ch	  "upload"
00104:  C=301      7 L	      11 W	    169 Ch	  "ftp2"
00108:  C=301      7 L	      11 W	    169 Ch	  "home"
00109:  C=301      7 L	      11 W	    169 Ch	  "bbs"
00112:  C=301      7 L	      11 W	    169 Ch	  "en"
00114:  C=301      7 L	      11 W	    169 Ch	  "it"
00110:  C=301      7 L	      11 W	    169 Ch	  "login"
00116:  C=301      7 L	      11 W	    169 Ch	  "stage"
00115:  C=301      7 L	      11 W	    169 Ch	  "cdn"
00131:  C=301      7 L	      11 W	    169 Ch	  "library"
00113:  C=301      7 L	      11 W	    169 Ch	  "blogs"
00100:  C=301      7 L	      11 W	    169 Ch	  "helpdesk"
00128:  C=301      7 L	      11 W	    169 Ch	  "test2"
00125:  C=301      7 L	      11 W	    169 Ch	  "relay"
00127:  C=301      7 L	      11 W	    169 Ch	  "service"
00172:  C=301      7 L	      11 W	    169 Ch	  "ts"
00144:  C=301      7 L	      11 W	    169 Ch	  "survey"
00165:  C=301      7 L	      11 W	    169 Ch	  "photo"
00140:  C=301      7 L	      11 W	    169 Ch	  "services"
00168:  C=301      7 L	      11 W	    169 Ch	  "mrtg"
00162:  C=301      7 L	      11 W	    169 Ch	  "moodle"
00151:  C=301      7 L	      11 W	    169 Ch	  "c-n7k-n04-01.rz"
00166:  C=301      7 L	      11 W	    169 Ch	  "partner"
